TFs,Expr_Fraction_0,Mean_Expr_0
14-3-3epsilon,1.0,11.5751927614
14-3-3zeta,1.0,10.6622487377
ab,0.46875,3.30094377862
abd-A,0.0,0.0
Abd-B,0.0,0.0338213545759
abo,0.09375,0.820263913343
abs,0.0625,0.611652781953
ac,0.0,0.0
Acf,0.1875,1.55057484018
achi,0.125,0.964000180393
acj6,0.84375,6.61256104823
Ada2a,0.15625,1.30511462208
Ada2b,0.125,1.0347818885
ADD1,0.3125,2.67313540372
Adf1,0.46875,3.86924749792
adp,0.28125,2.63149057094
Aef1,0.1875,1.45514578144
al,0.0,0.0
Alh,0.25,1.83859201572
amos,0.0,0.0
Antp,0.0,0.0
aop,0.09375,0.582861366425
ap,0.0,0.076606846485
apt,0.375,3.18656755605
ara,0.0,0.0
Asciz,0.09375,0.58281306788
ase,0.0,0.0
ash1,0.0625,0.499971474479
ash2,0.25,1.96724162683
Atac3,0.25,2.21490058384
ATbp,0.0,0.0
Atf-2,0.15625,1.12814136855
Atf3,0.125,1.03266949126
Atf6,0.15625,1.07551986927
ato,0.0,0.0
Awh,0.0,0.0
az2,0.09375,0.795812008855
B-H1,0.0,0.0
B-H2,0.0,0.0
bab1,0.4375,3.57991389007
bab2,0.40625,3.32167687753
baf,0.25,2.00641722272
bap,0.0,0.0
Bap111,0.21875,1.93090684674
Bap170,0.09375,0.563841287622
bbx,0.0,0.0
bcd,0.0,0.0
BEAF-32,0.4375,3.56657319097
betaNACtes3,0.0,0.0
Bgb,0.53125,4.24124884215
bi,0.90625,6.83429214597
bic,0.875,7.26688398795
BigH1,0.0,0.0
bigmax,0.125,0.913759979557
bin,0.0,0.0
bip2,0.71875,6.0474435568
Blimp-1,0.28125,1.99941813178
Blm,0.03125,0.405081690179
Blos1,0.15625,1.24957848375
bon,0.21875,1.87754263506
bowl,0.0,0.0340455185513
br,0.0,0.0340331509944
Br140,0.03125,0.10820886612
brat,0.78125,6.69810361882
brk,0.0,0.0810831876719
brm,0.125,1.23172683736
Bro,0.03125,0.197873946312
bs,0.1875,1.76072493762
bsh,0.0,0.0
BtbVII,0.1875,1.56753745143
btd,0.0625,0.495579100959
btn,0.03125,0.164709901701
btsz,0.03125,0.269206017644
Bug22,0.75,5.78031649995
BuGZ,0.34375,2.63212591345
bun,0.96875,8.97776753247
Bx,0.125,0.972118716409
byn,0.0,0.0
C15,0.0,0.0
cad,0.0,0.0
Camta,0.21875,1.64818652141
Cap-D2,0.03125,0.23792375512
capu,0.09375,0.849970779347
cas,0.09375,0.477391052605
cato,0.0,0.0
caup,0.0,0.0
cbt,0.15625,1.12957305338
CDC45L,0.03125,0.230359536433
Cdc5,0.21875,1.68988341171
Cdk9,0.21875,1.50249917123
Cenp-C,0.0625,0.401655767118
Cf2,0.3125,2.24793915137
cg,0.5625,4.92875442363
CG10147,0.09375,0.705675141954
CG10209,0.15625,0.881064769073
CG10211,0.0,0.0
